,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
53,12,346660.42,0.0,0.0,1355583.34,1964617.69,0,0,0,0,1,0,0
54,299,956961.3,0.0,0.0,10391648.79,11348610.09,0,0,0,0,1,0,0
55,227,7226.38,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
56,350,27250.56,16810970.57,16838221.13,239977.19,212726.63,1,0,0,0,0,0,0
57,408,14603.68,0.0,0.0,1273702.66,1288306.34,0,1,0,0,0,0,0
58,12,123835.39,0.0,0.0,4301337.98,4501076.43,0,1,0,0,0,0,0
59,163,58541.66,294.0,0.0,725111.69,783653.35,0,1,0,0,0,0,0
60,160,276642.34,19698.0,0.0,0.0,276642.34,0,1,0,0,0,0,0
61,409,441.26,6056.0,5614.74,6493251.93,6493693.19,0,0,1,0,0,0,0
62,252,382394.33,9964.0,392358.33,61558.49,0.0,1,0,0,0,0,0,0
63,376,37936.41,0.0,0.0,1401308.26,1439244.67,0,1,0,0,0,0,0
64,185,1050.28,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
65,134,557190.34,0.0,0.0,609446.78,1166637.12,0,0,0,0,1,0,0
66,11,15915.33,40198.0,24282.67,0.0,0.0,0,0,0,1,0,0,0
67,565,581849.31,0.0,0.0,2554973.2,3136822.51,0,1,0,0,0,0,0
68,299,1343.68,109122.15,107778.48,0.0,0.0,0,0,0,1,0,0,0
69,34,134564.7,0.0,0.0,1198005.0,2371701.53,0,1,0,0,0,0,0
70,325,142851.61,6730.0,149581.61,165673.99,22822.37,1,0,0,0,0,0,0
71,228,4669.36,0.0,4669.36,1728546.67,1723877.31,1,0,0,0,0,0,0
72,332,217972.36,0.0,0.0,1190654.31,1408626.67,0,1,0,0,0,0,0
73,161,208336.13,786205.91,994542.04,477730.36,269394.22,1,0,0,0,0,0,0
74,399,38745.08,326666.03,287920.95,0.0,0.0,0,0,0,1,0,0,0
75,352,133088.2,0.0,0.0,396176.97,529265.16,0,1,0,0,0,0,0
76,667,1339.24,69227.0,67887.76,0.0,0.0,0,0,0,1,0,0,0
77,181,216958.86,619.37,0.0,1745066.38,2157363.35,0,1,0,0,0,0,0
78,133,392763.54,9262.0,402025.54,688696.84,295933.3,1,0,0,0,0,0,0
79,142,11729.94,10825.0,0.0,0.0,0.0,0,0,0,1,0,0,0
80,36,26017.78,50295.0,24277.22,0.0,0.0,0,0,0,1,0,0,0
81,522,152667.58,2035490.67,2188158.25,194017.38,41349.8,1,0,0,0,0,0,0
82,325,13534.05,62357.0,48822.95,0.0,0.0,0,0,0,1,0,0,0
83,330,145643.06,0.0,0.0,321731.15,467374.21,0,0,0,0,1,0,0
84,162,10457.55,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
85,13,32299.5,28827.0,0.0,159520.1,124863.78,0,0,0,0,1,0,0
86,302,155716.83,967796.84,1123513.67,1049557.17,893840.34,1,0,0,0,0,0,0
87,212,92052.6,40182.0,132234.6,1023433.27,931380.67,1,0,0,0,0,0,0
88,404,5222.21,8645.0,3422.79,0.0,0.0,0,0,0,1,0,0,0
89,229,376918.9,0.0,0.0,713894.87,1090813.76,0,1,0,0,0,0,0
90,134,12720.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
91,426,937.8,141584.0,140646.2,0.0,0.0,0,0,0,1,0,0,0
92,45,208938.69,0.0,0.0,617412.86,826351.55,0,1,0,0,0,0,0
93,256,4557.88,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
94,214,9085.91,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
95,205,7236.09,130278.0,123041.91,0.0,0.0,0,0,0,1,0,0,0
96,684,134286.84,1459328.13,1593614.97,239809.5,105522.66,1,0,0,0,0,0,0
97,254,130941.89,50806.0,181747.89,9654.34,0.0,1,0,0,0,0,0,0
98,43,111055.29,107202.32,0.0,134608.4,245663.69,0,1,0,0,0,0,0
99,692,68995.44,10829.0,0.0,4155490.23,4224485.67,0,1,0,0,0,0,0
100,40,8701.81,13839.55,5137.74,0.0,0.0,0,0,0,1,0,0,0
101,182,1031990.31,19633.0,0.0,39037.99,1071028.3,0,0,0,0,1,0,0
102,322,224535.51,12536.0,0.0,1199010.84,1423546.35,0,1,0,0,0,0,0
103,187,21289.22,51126.0,29836.78,1830450.08,1851739.3,0,1,0,0,0,0,0
104,183,35212.23,5687.66,0.0,0.0,0.0,0,0,0,1,0,0,0
105,322,247838.01,2570.0,250408.01,425854.37,178016.35,1,0,0,0,0,0,0
106,156,41436.55,0.0,0.0,424349.26,465785.81,0,1,0,0,0,0,0
107,380,7255.78,10887.0,3631.22,0.0,0.0,0,0,0,1,0,0,0
108,181,48518.95,10323.0,0.0,0.0,0.0,0,0,0,1,0,0,0
109,131,41360.25,23016.0,0.0,0.0,0.0,0,0,0,1,0,0,0
110,134,253617.81,0.0,0.0,578260.49,831878.29,0,1,0,0,0,0,0
111,300,7309.49,235554.27,228244.77,0.0,0.0,0,0,0,1,0,0,0
112,180,86872.63,250655.0,337527.63,0.0,0.0,1,0,0,0,0,0,0
113,352,39897.35,156589.0,116691.65,0.0,0.0,0,0,0,1,0,0,0
114,164,103053.62,31367.0,0.0,1347567.62,1450621.24,0,1,0,0,0,0,0
115,131,185032.49,220535.0,405567.49,295984.89,110952.41,1,0,0,0,0,0,0
116,397,20929.46,190750.74,169821.27,0.0,0.0,0,0,0,1,0,0,0
117,306,391901.6,1227441.91,1619343.5,1209717.02,817815.42,1,0,0,0,0,0,0
118,323,32559.81,142.0,0.0,0.0,0.0,0,0,0,1,0,0,0
119,96,10975.8,2031208.72,2042184.52,702911.97,691936.17,1,0,0,0,0,0,0
120,203,214995.16,61922.0,0.0,0.0,214995.16,0,1,0,0,0,0,0
121,260,93802.33,13290.0,0.0,0.0,93802.33,0,1,0,0,0,0,0
122,38,372526.66,169136.43,0.0,590152.9,962679.56,0,0,0,0,1,0,0
123,129,83204.7,382305.41,299100.71,901337.57,984542.27,0,1,0,0,0,0,0
124,254,2293.79,0.0,0.0,1437061.33,1439355.12,0,1,0,0,0,0,0
125,327,51084.59,709649.33,760733.92,147534.1,96449.51,1,0,0,0,0,0,0
126,284,100069.44,136119.0,36049.56,100016.73,200086.18,0,1,0,0,0,0,0
127,12,3755.17,0.0,0.0,1916932.22,3520264.35,0,1,0,0,0,0,0
128,12,21991.16,233202.1,211210.93,0.0,0.0,0,0,0,1,0,0,0
129,201,94835.94,348378.0,443213.94,6194079.47,6099243.52,1,0,0,0,0,0,0
130,183,83047.98,2902635.09,2985683.07,1093042.72,1009994.74,1,0,0,0,0,0,0
131,251,93172.43,18873.0,0.0,0.0,93172.43,0,1,0,0,0,0,0
132,164,145508.52,997.0,146505.52,1277140.01,1131631.49,1,0,0,0,0,0,0
133,180,181797.88,36405.0,218202.88,494828.72,313030.84,1,0,0,0,0,0,0
134,349,60377.63,15428.0,0.0,0.0,0.0,0,0,0,1,0,0,0
135,44,21149.23,522.0,0.0,108.0,21257.23,0,1,0,0,0,0,0
136,405,288315.37,11.0,288326.37,891497.5,603182.13,1,0,0,0,0,0,0
137,139,1219.93,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
138,261,15706.5,52011.0,36304.5,311803.15,327509.65,0,1,0,0,0,0,0
139,17,127472.19,20427.0,0.0,25445.0,152917.19,0,1,0,0,0,0,0
140,255,126922.6,1729801.88,1856724.48,1830440.51,1703517.91,1,0,0,0,0,0,0
141,301,13550.88,611643.85,625194.74,153887.88,140337.0,1,0,0,0,0,0,0
142,329,4258.36,223803.15,219544.79,0.0,0.0,0,0,0,1,0,0,0
143,188,145932.56,29216.0,175148.56,3703438.73,3557506.17,1,0,0,0,0,0,0
144,349,279067.51,0.0,0.0,285332.32,564399.83,0,1,0,0,0,0,0
145,383,38280.26,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
146,351,395.28,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
147,162,163840.88,69613.0,0.0,366501.13,530342.01,0,1,0,0,0,0,0
148,134,442831.38,118177.98,0.0,543748.29,986579.67,0,1,0,0,0,0,0
149,234,32395.7,26501.0,0.0,0.0,0.0,0,0,0,1,0,0,0
150,235,10792.99,71699.0,60906.01,0.0,0.0,0,0,0,1,0,0,0
151,205,157014.74,0.0,0.0,500866.4,657881.14,0,1,0,0,0,0,0
152,381,77730.96,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
153,328,53608.34,0.0,0.0,2961140.1,3014748.44,0,1,0,0,0,0,0
154,305,23405.23,111989.08,88583.85,0.0,0.0,0,0,0,1,0,0,0
155,285,178096.81,4874478.28,5052575.09,1304575.82,1126479.01,1,0,0,0,0,0,0
156,94,1798.48,10273.0,8474.52,0.0,0.0,0,0,0,1,0,0,0
157,330,17862.91,80352.0,62489.09,0.0,0.0,0,0,0,1,0,0,0
158,356,120778.92,36671.0,157449.92,54596.19,0.0,1,0,0,0,0,0,0
159,226,138704.89,5219056.4,5357761.29,359779.58,221074.69,1,0,0,0,0,0,0
160,46,228390.31,1744008.35,1972398.67,341609.81,113219.5,1,0,0,0,0,0,0
161,298,22872.58,4034251.37,4057123.96,3733127.79,3710255.2,1,0,0,0,0,0,0
162,209,169544.53,211982.0,42437.47,1252216.13,1421760.66,0,1,0,0,0,0,0
163,212,154788.82,0.0,0.0,324858.09,479646.91,0,1,0,0,0,0,0
164,280,213751.17,0.0,0.0,404237.04,617988.22,0,1,0,0,0,0,0
165,404,171205.04,1238.0,172443.04,0.0,0.0,1,0,0,0,0,0,0
166,19,164833.64,10828.0,0.0,85214.88,315247.5,0,1,0,0,0,0,0
167,301,85428.65,0.0,0.0,2698626.02,2784054.67,0,1,0,0,0,0,0
168,357,2100849.12,0.0,0.0,3691235.67,5792084.79,0,0,0,0,1,0,0
169,204,25933.63,115482.0,141415.63,416428.1,390494.46,1,0,0,0,0,0,0
170,166,19788.73,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
171,185,197054.12,0.0,0.0,733790.16,930844.28,0,1,0,0,0,0,0
172,186,6905.7,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
173,426,178173.77,69478.0,0.0,0.0,178173.77,0,1,0,0,0,0,0
174,44,23625.42,1028.0,0.0,0.0,0.0,0,0,0,1,0,0,0
175,178,29737.31,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
176,688,124180.79,55469.0,179649.79,46859.32,0.0,1,0,0,0,0,0,0
177,371,232109.03,0.0,0.0,629723.26,861832.29,0,1,0,0,0,0,0
178,158,338215.82,0.0,0.0,4670375.02,5008590.84,0,1,0,0,0,0,0
179,306,262703.64,43662.45,0.0,2672133.17,2934836.81,0,0,0,0,1,0,0
180,355,8.37,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
181,321,1525.31,0.0,0.0,324842.27,326367.58,0,1,0,0,0,0,0
182,19,10864.05,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
183,188,5044.12,439930.09,434885.97,0.0,0.0,0,0,0,1,0,0,0
184,279,273032.35,48827.0,0.0,1103768.53,1376800.88,0,1,0,0,0,0,0
185,37,136335.46,0.0,0.0,4419726.72,4518576.6,0,1,0,0,0,0,0
186,132,19511.95,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
187,139,382633.45,1497368.89,1880002.34,439264.91,56631.46,1,0,0,0,0,0,0
188,20,92005.66,0.0,0.0,106977.34,198983.0,0,1,0,0,0,0,0
189,403,96536.42,244.0,0.0,1881393.57,1977929.98,0,1,0,0,0,0,0
190,382,90869.61,2013334.64,2104204.26,410081.91,319212.29,1,0,0,0,0,0,0
191,253,3632.13,4791335.66,4794967.78,9973.21,6341.09,1,0,0,0,0,0,0
192,373,19276.52,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
193,23,116791.45,10432.0,0.0,0.0,116791.45,0,1,0,0,0,0,0
194,371,1141.13,30302.0,29160.87,0.0,0.0,0,0,0,1,0,0,0
195,44,214223.49,12261.0,226484.49,5751340.84,5537117.35,1,0,0,0,0,0,0
196,254,32915.25,5273121.41,5306036.66,262451.88,229536.63,1,0,0,0,0,0,0
197,256,445.95,31869.0,31423.05,0.0,0.0,0,0,0,1,0,0,0
198,35,200865.24,0.0,0.0,1034411.22,1235276.47,0,1,0,0,0,0,0
199,236,11751.14,94773.87,83022.73,0.0,0.0,0,0,0,1,0,0,0
200,308,85494.38,52686.0,0.0,6614529.55,6700023.93,0,1,0,0,0,0,0
201,251,392555.98,15076.0,407631.98,523626.8,131070.82,1,0,0,0,0,0,0
202,18,3454.44,224216.98,220762.54,0.0,0.0,0,0,0,1,0,0,0
203,132,192421.88,382810.68,575232.56,253467.23,61045.35,1,0,0,0,0,0,0
204,159,9030.54,7123.0,0.0,0.0,0.0,0,0,0,1,0,0,0
205,407,4434.1,232.0,0.0,0.0,0.0,0,0,0,1,0,0,0
206,188,4605.69,109.0,0.0,0.0,0.0,0,0,0,1,0,0,0
207,186,99993.42,0.0,0.0,1054874.98,1319029.53,0,1,0,0,0,0,0
208,93,1173.93,558.0,0.0,0.0,0.0,0,0,0,1,0,0,0
209,158,5909.44,25032.0,19122.56,0.0,0.0,0,0,0,1,0,0,0
210,327,334864.82,95492.0,430356.82,154.41,0.0,1,0,0,0,0,0,0
211,297,81564.9,203669.0,122104.1,7432767.36,7514332.26,0,1,0,0,0,0,0
212,190,958.4,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
213,18,175951.5,10620.0,0.0,326335.06,596692.93,0,1,0,0,0,0,0
214,397,199741.33,120904.0,320645.33,283465.74,83724.42,1,0,0,0,0,0,0
215,154,10619.1,427852.87,417233.77,0.0,0.0,0,0,0,1,0,0,0
216,96,8634.63,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
217,352,281623.62,0.0,0.0,307738.17,589361.8,0,1,0,0,0,0,0
218,157,113391.23,11178546.82,11291938.06,1334683.43,1221292.19,1,0,0,0,0,0,0
219,177,13191.5,0.0,0.0,76756.04,89947.54,0,1,0,0,0,0,0
220,161,459041.79,9503108.84,9962150.63,2638652.11,2179610.33,1,0,0,0,0,0,0
221,153,190717.63,123.0,0.0,0.0,190717.63,0,1,0,0,0,0,0
222,12,249716.72,115092.44,0.0,11953758.23,12203474.94,0,1,0,0,0,0,0
223,136,400245.44,0.0,0.0,1497302.79,1644862.76,0,1,0,0,0,0,0
224,12,13126.66,72721.0,59594.34,0.0,0.0,0,0,0,1,0,0,0
225,321,24436.83,31347.0,6910.17,0.0,0.0,0,0,0,1,0,0,0
226,12,10514.47,239887.25,229372.78,0.0,0.0,0,0,0,1,0,0,0
227,7,7379.95,141310.0,133930.05,0.0,0.0,0,0,0,1,0,0,0
228,259,8007.33,100184.0,92176.67,45794.57,53801.9,0,1,0,0,0,0,0
229,20,113392.55,106228.0,219620.55,0.0,0.0,1,0,0,0,0,0,0
230,358,13571.49,31289.0,17717.51,0.0,0.0,0,0,0,1,0,0,0
231,251,309021.75,11070.0,0.0,382263.82,691285.58,0,1,0,0,0,0,0
232,275,14513.77,0.0,0.0,2229578.74,2244092.52,0,0,0,0,1,0,0
233,372,247013.13,39403.78,0.0,582409.5,829422.62,0,1,0,0,0,0,0
234,332,11718.15,137054.0,125335.85,0.0,0.0,0,0,0,1,0,0,0
235,227,410557.35,0.0,0.0,641053.75,1051611.1,0,1,0,0,0,0,0
236,140,9066.93,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
237,153,489.79,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
238,282,62922.72,335.0,63257.72,198785.75,135863.04,1,0,0,0,0,0,0
239,371,145027.54,0.0,0.0,207092.78,352120.32,0,1,0,0,0,0,0
240,16,147202.45,1509793.95,1656996.4,3826987.52,4264354.58,1,0,0,0,0,0,0
241,348,765576.34,31220.0,0.0,0.0,765576.34,0,0,0,0,1,0,0
242,184,77443.25,0.0,0.0,2423800.63,2501243.87,0,0,0,0,1,0,0
243,165,60734.01,5342567.56,5403301.57,91427.06,30693.05,1,0,0,0,0,0,0
244,347,18218.21,20544.0,2325.79,0.0,0.0,0,0,0,1,0,0,0
245,154,107434.35,136.0,0.0,132353.24,239787.59,0,1,0,0,0,0,0
246,281,1407575.47,0.0,0.0,3937596.6,5345172.07,0,0,0,0,1,0,0
247,8,3770.01,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
248,95,312236.55,0.0,0.0,1295624.42,1607860.97,0,1,0,0,0,0,0
249,236,81318.61,20215.0,101533.61,1826390.28,1745071.67,1,0,0,0,0,0,0
250,141,156904.1,18534.0,175438.1,0.0,0.0,1,0,0,0,0,0,0
251,10,13742.86,68090.02,54347.16,0.0,0.0,0,0,0,1,0,0,0
252,186,76149.51,0.0,0.0,253147.94,329297.45,0,1,0,0,0,0,0
253,138,32595.33,21811.0,54406.33,24952.48,0.0,1,0,0,0,0,0,0
254,177,221681.36,0.0,0.0,6389360.27,6611041.63,0,1,0,0,0,0,0
255,16,21890.39,40246.0,18355.61,0.0,0.0,0,0,0,1,0,0,0
256,185,283941.21,352.0,0.0,0.0,283941.21,0,1,0,0,0,0,0
257,355,58716.36,0.0,0.0,2336664.0,2395380.35,0,1,0,0,0,0,0
258,130,178512.48,0.0,0.0,9923191.71,10101704.19,0,1,0,0,0,0,0
259,401,115566.48,11646549.37,11762115.85,458620.37,343053.89,1,0,0,0,0,0,0
260,288,203.75,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
261,179,274002.47,107935.0,381937.47,8717374.66,8443372.19,1,0,0,0,0,0,0
262,352,301057.46,102114.0,403171.46,178934.51,0.0,1,0,0,0,0,0,0
263,129,85051.5,0.0,0.0,740266.29,825317.79,0,1,0,0,0,0,0
264,19,37844.75,0.0,0.0,166659.74,319474.96,0,1,0,0,0,0,0
265,376,215125.97,23174.0,0.0,0.0,215125.97,0,1,0,0,0,0,0
266,255,22260.75,159010.0,136749.25,0.0,0.0,0,0,0,1,0,0,0
267,327,40562.13,163.0,0.0,1277264.67,1317826.79,0,1,0,0,0,0,0
268,9,10588.17,1308451.81,1297863.65,0.0,0.0,0,0,0,1,0,0,0
269,235,13289.22,630510.0,617220.78,0.0,0.0,0,0,0,1,0,0,0
270,277,9798.4,0.0,0.0,714694.39,724492.79,0,1,0,0,0,0,0
271,134,12922.01,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
272,37,18362.05,877782.35,859420.29,0.0,0.0,0,0,0,1,0,0,0
273,45,313589.56,2852279.72,3165869.27,9578131.35,9264541.79,1,0,0,0,0,0,0
274,93,8122.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
275,551,2185.34,163.0,0.0,0.0,0.0,0,0,0,1,0,0,0
276,256,6078.15,9084.5,3006.34,0.0,0.0,0,0,0,1,0,0,0
277,36,241822.17,47402.0,0.0,202799.0,444621.17,0,1,0,0,0,0,0
278,306,2069.11,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
279,155,2269.12,621022.65,618753.53,0.0,0.0,0,0,0,1,0,0,0
280,142,12272.36,25171.96,12899.59,0.0,0.0,0,0,0,1,0,0,0
281,229,166045.75,3130617.89,3296663.64,903280.84,737235.09,1,0,0,0,0,0,0
282,41,538188.21,0.0,0.0,1288454.74,1612974.36,0,1,0,0,0,0,0
283,10,8266.1,79934.73,71668.63,0.0,0.0,0,0,0,1,0,0,0
284,164,101643.09,0.0,0.0,2386893.93,2488537.02,0,1,0,0,0,0,0
285,211,34497.06,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
286,166,13350.7,1896452.42,1909803.12,384260.95,370910.26,1,0,0,0,0,0,0
287,20,33179.43,3852998.23,3886177.67,786987.36,753807.93,1,0,0,0,0,0,0
288,306,16286.63,461527.47,445240.84,0.0,0.0,0,0,0,1,0,0,0
289,399,21553.96,4270641.66,4292195.62,322279.98,300726.02,1,0,0,0,0,0,0
290,179,301954.24,20997.0,0.0,4634877.5,4936831.74,0,1,0,0,0,0,0
291,306,71595.05,42079.0,0.0,3634834.54,3706429.59,0,1,0,0,0,0,0
292,308,166446.61,32171.61,0.0,7331284.79,7497731.39,0,1,0,0,0,0,0
293,186,35373.78,0.0,0.0,6330902.04,6366275.82,0,1,0,0,0,0,0
294,206,121257.24,15945862.21,16067119.45,344315.69,223058.46,1,0,0,0,0,0,0
295,330,31448.04,53366.0,21917.96,175333.99,206782.03,0,1,0,0,0,0,0
296,210,933.93,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
297,18,40529.58,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
298,403,51171.7,12286788.47,12337960.17,97646.15,46474.45,1,0,0,0,0,0,0
299,138,23629.24,119592.35,95963.1,0.0,0.0,0,0,0,1,0,0,0
300,15,200021.89,5802905.53,6002927.42,464787.95,264766.05,1,0,0,0,0,0,0
301,210,312025.69,0.0,0.0,1847754.42,2159780.11,0,1,0,0,0,0,0
302,347,31411.19,0.0,0.0,1671127.14,1977143.04,0,1,0,0,0,0,0
303,378,277953.16,2162.0,280115.16,0.0,0.0,1,0,0,0,0,0,0
304,187,343966.5,0.0,0.0,3665450.52,4009417.02,0,1,0,0,0,0,0
305,238,10589.81,5094.0,0.0,0.0,0.0,0,0,0,1,0,0,0
306,254,62588.57,0.0,0.0,1069491.32,1132079.89,0,1,0,0,0,0,0
307,17,644841.26,0.0,0.0,1409510.31,2054351.57,0,0,0,0,1,0,0
308,121,1949.36,57491.0,55541.64,0.0,0.0,0,0,0,1,0,0,0
309,249,4468.62,31031.0,26562.38,0.0,0.0,0,0,0,1,0,0,0
310,300,15447.93,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
311,202,341673.43,0.0,0.0,844809.25,1186482.69,0,1,0,0,0,0,0
312,138,21643.17,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
313,373,24795.56,19819.0,0.0,0.0,0.0,0,0,0,1,0,0,0
314,394,183535.55,0.0,0.0,2062467.78,2246003.33,0,0,0,0,1,0,0
315,399,38759.03,79600.0,40840.97,0.0,0.0,0,0,0,1,0,0,0
316,40,14792.96,0.0,0.0,400766.84,77611.01,0,0,0,0,1,0,0
317,157,16296.71,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
318,226,268489.8,5052.0,273541.8,34040.59,0.0,1,0,0,0,0,0,0
319,167,112145.25,91.0,0.0,0.0,112145.25,0,0,0,0,1,0,0
320,42,4511.33,6286.0,1774.67,0.0,0.0,0,0,0,1,0,0,0
321,156,92886.84,9068.0,101954.84,0.0,0.0,1,0,0,0,0,0,0
322,190,140149.77,13342.0,0.0,656707.98,796857.75,0,1,0,0,0,0,0
323,322,10782.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
324,165,283571.72,0.0,0.0,3969366.47,4252938.19,0,1,0,0,0,0,0
325,408,9684.0,260.0,0.0,0.0,0.0,0,0,0,1,0,0,0
326,204,4515.59,5970.95,1455.37,0.0,0.0,0,0,0,1,0,0,0
327,372,237937.18,91687.0,0.0,284507.91,522445.1,0,1,0,0,0,0,0
328,236,20710.63,268590.49,247879.85,0.0,0.0,0,0,0,1,0,0,0
